task,cluster_unit,split_regime,seed,metric,point_estimate,bootstrap_mean,bootstrap_sd,q025,q500,q975,n_records,n_clusters,bootstrap_reps,finite_bootstrap_reps
T3_pn_clf,source_patent_id,pub,20260817,pr_auc,0.8870394626136793,0.88832683987494,0.035049184659829466,0.8145449319321317,0.8906637220783836,0.9474260561921793,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,balanced_accuracy,0.5123597776036053,0.5135190665420104,0.012915831125949323,0.49454751011707226,0.5123185589064528,0.5444901031479251,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,mcc,0.06365344351225735,0.0686273421897657,0.06273659631161804,-0.03607639000315616,0.06457000195331285,0.19779981585348952,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,brier,0.13888679929861303,0.1376695949043542,0.031696905417537106,0.0813227938098559,0.13759100263951535,0.20208010093117088,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,ece_10bin,0.11224717045731755,0.11300979155158304,0.0319870071853168,0.05944021196925378,0.1118088721532034,0.18037280398417682,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,sensitivity,0.9844653179190751,0.9847088723940689,0.007727131789192837,0.9680766806722689,0.9851185923225421,0.9981254755939124,3240,69,1000,1000
T3_pn_clf,source_patent_id,pub,20260817,specificity,0.04025423728813559,0.04232926068995198,0.02566954850096559,0.0,0.03917877026291294,0.1025071549559021,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,roc_auc,0.600619519692368,0.5988612114482923,0.06353821998791977,0.4760023356358452,0.599416514338555,0.7258480038623829,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,pr_auc,0.8939739954161865,0.8920397544476555,0.03687571995637887,0.8049979492818942,0.8961662230035091,0.9498310401351118,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,balanced_accuracy,0.5019716860977761,0.5017020912930444,0.0078013986021973035,0.4876462416830909,0.5013872243788494,0.5182733168986372,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,mcc,0.012019657387950753,0.01163275631024732,0.04742955712212926,-0.05873932943790279,0.007796576311433327,0.11173929448183914,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,brier,0.1313780292332636,0.13091364537377942,0.03006488748372867,0.07595286530504339,0.1295864693130384,0.1931274106290486,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,ece_10bin,0.09057110470064263,0.096688344822186,0.029283227530722173,0.04718262871077815,0.09489342693100618,0.15965247740524086,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,sensitivity,0.9869942196531792,0.9871282090755248,0.007372347030848895,0.9698545146674964,0.9881424059352389,0.9982984170432831,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260815,specificity,0.01694915254237288,0.01627597351056417,0.01467108620507535,0.0,0.016243671564504694,0.04763703064307292,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,roc_auc,0.5847526513667092,0.5833401805822227,0.07306673407930413,0.4392016531051505,0.5841280085351062,0.7306239974822302,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,pr_auc,0.8855347472240223,0.884824790855055,0.040572238944965824,0.793189212880908,0.8879715138439368,0.951852356377224,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,balanced_accuracy,0.5158837072597238,0.5129989874273437,0.019689419770391407,0.48271153088474794,0.5119745744393382,0.5549648591927405,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,mcc,0.059824414816954455,0.04469123007108875,0.06873948557379332,-0.06262898064907957,0.0471001063798475,0.17505706337756707,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,brier,0.13599678068479634,0.13610564573863992,0.03183822799040442,0.07533133847723769,0.13473394113813658,0.20096459818173257,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,ece_10bin,0.10234222050158334,0.10723959008985175,0.03141318235878947,0.05206569155798941,0.10435416910295772,0.17358564492266537,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,sensitivity,0.9682080924855492,0.9685649521641553,0.014117819758221805,0.9384433992927349,0.9694609802637993,0.9925917260803472,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260816,specificity,0.0635593220338983,0.05743302269053218,0.04401818764150087,0.0,0.05769404175179247,0.15344660786146905,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,roc_auc,0.5977771841628294,0.5932418390201096,0.06255590793909996,0.4676950628488814,0.5933413832283095,0.7137165785947231,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,pr_auc,0.8990671681636406,0.8968256586268385,0.03233031216535841,0.8272710316733352,0.8997110940050259,0.9502376546964042,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,balanced_accuracy,0.49412168119917704,0.4939396097623898,0.004973287402585232,0.4825338871459231,0.4942931351080655,0.5022731328053063,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,mcc,-0.03076436733448281,-0.029238376963512214,0.02170329570009485,-0.07167516805178052,-0.030715996474272006,0.018037686176803847,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,brier,0.13812761787046535,0.1381089275981046,0.030435549766581138,0.0817798204304932,0.13796235424739295,0.19905282911251265,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,ece_10bin,0.10927978057276314,0.11404546749689111,0.03134089999091888,0.056178782157215376,0.11291087348217366,0.1777252834965908,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,sensitivity,0.9797687861271677,0.9797265667300759,0.009205543972755609,0.9595757043198058,0.9805978572719363,0.9949936279274503,3240,69,1000,1000
T3_pn_clf,source_patent_id,random,20260817,specificity,0.00847457627118644,0.008152652794703783,0.005784611527632667,0.0,0.0076726342710997444,0.020357357658380107,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,roc_auc,0.5845509668609777,0.5808940615790352,0.06986946043695652,0.44247971411254894,0.581451111299448,0.7127308735063879,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,pr_auc,0.8876459145544473,0.8861774005649249,0.040199833093752774,0.7983502068038804,0.8919354535702667,0.9477403634111009,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,balanced_accuracy,0.546735696090918,0.54207411834521,0.04337915665017548,0.48601798905347265,0.5424207327897936,0.6338714159570462,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,mcc,0.1521939552902108,0.11508591552219985,0.11554457529238134,-0.05885262335126549,0.14003990283538847,0.3117360307912572,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,brier,0.13600946995694072,0.1359200113217819,0.02994011977578148,0.08222131342927412,0.13483619929073792,0.1988004170179219,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,ece_10bin,0.10672960934677615,0.1115988774124953,0.029501290380953938,0.060168473658410805,0.10969562101677005,0.17713493701412464,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,sensitivity,0.9642341040462428,0.9643640432657707,0.018315617187799244,0.9257281429600496,0.966632175107488,0.9919743281023172,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260815,specificity,0.1292372881355932,0.11978419342464902,0.10165953677787216,0.0,0.11974953278356444,0.33053922892408377,3240,69,1000,1000
T3_pn_clf,source_patent_id,scaffold,20260816,roc_auc,0.5862895868031743,0.5877749094578361,0.07904073683462373,0.4355935507161731,0.5858416990555166,0.7366163069202396,3240,69,1000,1000
