task,protocol,split_regime,seed,metric,value,n_records,n_structures,conflict_structures_total,dropped_records,majority_ties_dropped
T3_pn_clf,record_level_all,random,20260815,sensitivity,0.9869942196531792,3240,2278,132,0,0
T3_pn_clf,record_level_all,random,20260815,specificity,0.01694915254237288,3240,2278,132,0,0
T3_pn_clf,exclude_conflict_structures,random,20260815,roc_auc,0.6329730256110624,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,pr_auc,0.9260328450016954,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,balanced_accuracy,0.503961128568341,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,mcc,0.020949875473755764,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,brier,0.10098423596040752,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,ece_10bin,0.06117259518935862,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,sensitivity,0.986449864498645,2909,2146,132,331,0
T3_pn_clf,exclude_conflict_structures,random,20260815,specificity,0.02147239263803681,2909,2146,132,331,0
T3_pn_clf,structure_majority_label,random,20260815,roc_auc,0.630821480431778,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,pr_auc,0.9271582595805015,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,balanced_accuracy,0.5051949386798229,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,mcc,0.028985873881293794,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,brier,0.09493438141318801,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,ece_10bin,0.0554320346420319,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,sensitivity,0.9888381532217149,2203,2203,132,0,75
T3_pn_clf,structure_majority_label,random,20260815,specificity,0.021551724137931036,2203,2203,132,0,75
T3_pn_clf,record_level_all,random,20260816,roc_auc,0.5847526513667092,3240,2278,132,0,0
